eval_scheme,fold_id,control,n_trials,mrr_mean,mrr_std,word_acc_mean,word_acc_std,bleu1_mean,bleu1_std,wer_mean,wer_std,recall_auc_mean,recall_auc_std
loso,sub-10,zero,20,0.35031818060814085,0.012936950872972513,0.2062353629976581,0.026580528149747113,0.3507025761124122,0.006607588918581211,0.793764637002342,0.026580528149747103,0.7815409550465529,0.01225187634847791
loso,sub-11,none,20,0.3484631456556825,0.024599328699338813,0.18821721311475414,0.036765028408427276,0.37668325526932084,0.043385124438940714,0.7981557377049182,0.03493045350683813,0.7891320257611241,0.016667088296545587
loso,sub-11,shuffle_time,20,0.36303717463969154,0.005442279815584445,0.20639637002341926,0.014275226793728482,0.3680474238875878,0.021964206952354497,0.793603629976581,0.014275226793728486,0.7898206788713086,0.012499048000175678
loso,sub-11,zero,20,0.350583886965524,0.014898130966593762,0.1980386416861827,0.03499018677339592,0.36855971896955503,0.024928630920101807,0.8019613583138174,0.03499018677339591,0.7885024561603929,0.007776004032232828
loso,sub-12,none,20,0.374829518853928,0.02036795630545994,0.2165837236533958,0.03698395028591171,0.3903103044496487,0.023726699844270338,0.7793179156908667,0.030631691804661222,0.8007723696235791,0.009730886758130835
loso,sub-12,shuffle_time,20,0.37367542305210455,0.006137514321066303,0.22962529274004678,0.01758016261620318,0.38040105386416856,0.025479711286507813,0.7703747072599532,0.017580162616203168,0.7930181498829041,0.011558101248568745
loso,sub-12,zero,20,0.35189722664747397,0.013517979934250126,0.21516393442622955,0.03574104915050741,0.3499707259953162,0.010962590705827903,0.7848360655737705,0.03574104915050743,0.7824887901982065,0.017022599500613092
loso,sub-13,none,20,0.3635779439831072,0.022585359342104486,0.20898711943793907,0.040429029868218606,0.3840603044496488,0.03608385226025209,0.7844555035128806,0.03243699049782305,0.7930206488833038,0.014382839228593666
loso,sub-13,shuffle_time,20,0.3433975852249642,0.01796365931782163,0.19282786885245906,0.03587055596516816,0.3382757611241218,0.01558453889599399,0.8030005854800937,0.03305288678823993,0.783945707431313,0.012531012610918988
loso,sub-13,zero,20,0.35467361259410013,0.011828057148977075,0.1980386416861827,0.03499018677339592,0.3849531615925058,0.008109313672804213,0.8019613583138174,0.03499018677339591,0.7875064260010282,0.011669500163303658
loso,sub-14,none,20,0.3254858787549411,0.027741950648717435,0.1722043325526932,0.03827623615722666,0.3368413348946136,0.057966207861610636,0.8219847775175644,0.036737467089608476,0.7766520177643229,0.017914118274160094
loso,sub-14,shuffle_time,20,0.38711006674494175,0.009700028464944676,0.23432377049180322,0.018570324910406492,0.39016393442622943,0.01505342556509837,0.7656762295081966,0.0185703249104065,0.7968625049980007,0.009860500890653382
loso,sub-14,zero,20,0.34687891310371105,0.008805828509529413,0.18911007025761126,0.025829665772635617,0.3849531615925058,0.008109313672804213,0.8108899297423887,0.02582966577263564,0.7877795310447251,0.012619982050427579
loso,sub-16,none,20,0.33994368142796727,0.028791756687226777,0.18531908665105384,0.036945417021119774,0.36178278688524595,0.05141965863933517,0.808650468384075,0.03545524440309548,0.7827649297423888,0.01792734449521914
loso,sub-16,shuffle_time,20,0.3531096710793896,0.019575998777541417,0.20942622950819673,0.04231863554825939,0.34281323185011714,0.00783576607288558,0.7889344262295082,0.040734792603830276,0.7876870680299309,0.014224637804330854
loso,sub-16,zero,20,0.35250099946957947,0.012975052373957822,0.2062353629976581,0.026580528149747113,0.3499707259953162,0.010962590705827903,0.793764637002342,0.026580528149747103,0.7839185754269721,0.010222716558625418
loso,sub-17,none,20,0.37056263225793307,0.029418597205459987,0.22157494145199066,0.04391500248883733,0.3921692037470726,0.03869455740655457,0.7767857142857142,0.04482918794273851,0.7944515051122409,0.01538296531733654
loso,sub-17,shuffle_time,20,0.3595001019559725,0.01097689999274328,0.2122658079625293,0.030005633084292677,0.3514490632318502,0.01564144917403299,0.7869145199063233,0.02881620027301779,0.7898337093733934,0.014265409633670465
loso,sub-17,zero,20,0.36344932634949423,0.005713816967038454,0.21443208430913355,0.018170869526098317,0.3849531615925058,0.008109313672804213,0.7855679156908667,0.01817086952609829,0.7889594162335066,0.011819672638725916
session_cv,0,none,52,0.33063499485088343,0.022655394341970874,0.17906120518825433,0.033364445270631746,0.3475274725274725,0.03297807380388274,0.8160973248063411,0.031098240272097084,0.7788175251877273,0.016755964446028154
session_cv,0,shuffle_time,52,0.31010014530207336,0.009636934479207413,0.15534926139434335,0.023315850916770298,0.2802422986849216,0.02331158534477565,0.8383455683660601,0.016620176700246327,0.7687225247263734,0.016158523069113282
session_cv,0,zero,52,0.3267109963883898,0.019709789813477523,0.1898419203747073,0.04271363860712792,0.31645199063231855,0.005025133953779761,0.8101580796252927,0.042713638607127874,0.7615882218541155,0.020497067188803272
session_cv,1,none,52,0.3317784006709524,0.029339520871515784,0.17463069717168075,0.0399679759525561,0.3522844982885966,0.041716539591764364,0.8191260583678616,0.038099850496902135,0.7810044938068729,0.01975348856254404
session_cv,1,shuffle_time,52,0.3079253379181687,0.011493164859860405,0.15343519185732302,0.019376252821577834,0.27511371824896413,0.02024259346019055,0.8440427400468382,0.01594764325937965,0.7702474642011328,0.014141195824524073
session_cv,1,zero,52,0.34959036471077043,0.005478112049641895,0.1973067915690866,0.0171445746658368,0.34177400468384084,0.0025125669768898667,0.8026932084309133,0.017144574665836833,0.7788902296224367,0.013119781222942132
session_cv,2,none,52,0.3303866907226005,0.021344809960898145,0.17607750855701673,0.037669015701224384,0.34354733381372726,0.02709328357999405,0.8184786524950459,0.03208471586202647,0.7801520188627846,0.016907583990774307
session_cv,2,shuffle_time,52,0.34122663948822396,0.00845206740764146,0.189059403711043,0.020620037201773203,0.3298110700774635,0.018411028511429745,0.8099948207530174,0.01924960650062261,0.7806724150998939,0.019312213408392627
session_cv,2,zero,52,0.34738239337285665,0.008247710880665091,0.2062353629976581,0.02616025617114755,0.3499707259953162,0.010789258194880061,0.7937646370023421,0.026160256171147537,0.7789312846290055,0.01953818223062143
session_cv,3,none,52,0.3077073668531029,0.016537115837909788,0.15036705098180508,0.027782157229378643,0.31090118897495944,0.03373687679870495,0.842443929021798,0.027741571309412877,0.7720705673774445,0.01804854776479219
session_cv,3,shuffle_time,52,0.3352445420583586,0.017226082519509012,0.18615452170780036,0.035609270895678495,0.32665285534138,0.016932184720682874,0.8122691857323006,0.033862027231432924,0.7809442843741625,0.016260157279321705
session_cv,3,zero,52,0.3419352631120344,0.009548782641798901,0.2062353629976581,0.02616025617114755,0.32464871194379386,0.0032515572642104053,0.7937646370023421,0.026160256171147537,0.7717555834808933,0.01669036600143489
session_cv,4,none,52,0.3112378500132834,0.020851982770075283,0.1568917762565304,0.03576498820143295,0.31487569807241944,0.028153890414753545,0.8349171320482796,0.03300055987864326,0.772931143476675,0.017350113004912925
session_cv,4,shuffle_time,52,0.36017611263516996,0.00919882820266329,0.20409610880922352,0.019162784744329357,0.36691024139794626,0.01679574188168513,0.7959038911907765,0.01916278474432936,0.7863766581279575,0.013553589108549835
session_cv,4,zero,52,0.3373401738175997,0.011602609836406472,0.2062353629976581,0.02616025617114755,0.33284543325526944,0.011528248482200599,0.7937646370023421,0.026160256171147537,0.7711022733763637,0.017350050014018664
stimulus,lines2,none,260,0.37892599863780696,0.020865066444178296,0.23927445505314357,0.0385232115502216,0.4194559538821834,0.02873562866631883,0.7565573770491802,0.03929841994095521,0.7639650733113349,0.010788898725650179
stimulus,lines2,shuffle_time,260,0.3856930194809456,0.017643945904649107,0.2540296793370564,0.024975584350384234,0.40026571788866866,0.0224646888260733,0.7458329580255808,0.025149533650496624,0.7602145542881747,0.002946945886023163
stimulus,lines2,zero,260,0.3766104021868762,0.012616779819607455,0.24868266978922712,0.01921145376392604,0.4199355971896956,0.02654406970435585,0.7513173302107727,0.01921145376392605,0.7599495915919346,0.002550319592939697
stimulus,lines4,none,260,0.3932269710978256,0.013200273843551701,0.26236826697892274,0.021933548334645704,0.3999268149882904,0.03674510039423635,0.7321484867591423,0.023981232394513198,0.7481649510525461,0.004902439567997079
stimulus,lines4,shuffle_time,260,0.3840028146431505,0.014587875993705094,0.24977368942532874,0.02513913091852818,0.39701742929201944,0.05391142687082044,0.746723563321924,0.02494958956960757,0.7387191140027505,0.006862056503750555
stimulus,lines4,zero,260,0.3793581935506354,0.0029366766971918785,0.24795081967213112,0.002053132463320343,0.3700234192037471,0.058660927523438294,0.7252634660421543,0.02889050680529336,0.7377174130347861,0.010603678027026437
